Column 7,楽曲名,アルバム,リリース日,歌唱者,enza実装,シャニソン実装,歓声追加,ソロ歌唱,歌い分け,定点＆縦画面,シャニソン周期,視点追加,MV公開,ソロコレ,ソロコレ発売日,ユニット版収録,初収録CDソロ歌唱
122,Shiny Stories,Shiny Stories,2023/07/26,櫻木真乃;七草にちか;斑鳩ルカ,2023/04/20,,,,,,,,,,,,
123,Imitation Ghost,“CANVAS” 05,2023/08/09,ストレイライト,2023/07/10,,,,,,既存5週目,,,-6thLIVE TOUR Come and Unite! part1-,2024/03/02,,
124,BURN BURN,“CANVAS” 05,2023/08/09,ストレイライト,2023/07/23,,,,,,,,,-6thLIVE TOUR Come and Unite! part2-,2024/03/02,,
125,Start up Stand up,“CANVAS” 05,2023/08/09,ストレイライト,2023/07/31,,,,,,,,,-6thLIVE TOUR Come and Unite! part3-,2024/03/02,,
126,Reflection,“CANVAS” 06,2023/09/13,ノクチル,2023/08/09,2026/02/10,,,,,既存4週目,,,-6thLIVE TOUR Come and Unite! part1-,2024/03/02,,
127,夢が夢じゃなくなるその日まで,“CANVAS” 06,2023/09/13,ノクチル,2023/08/21,,,,,,,,,-6thLIVE TOUR Come and Unite! part2-,2024/03/02,,
128,青とオレンジ,“CANVAS” 06,2023/09/13,ノクチル,2023/08/31,,,,,,,,,-6thLIVE TOUR Come and Unite! part3-,2024/03/02,,
129,Forbidden Paradise,“CANVAS” 07,2023/10/11,シーズ,2023/09/11,2025/07/10,,,2026/08/21,,既存3週目,,,-6thLIVE TOUR Come and Unite! part1-,2024/03/02,,
130,SWEETEST BITE,“CANVAS” 07,2023/10/11,シーズ,2023/09/21,,,,,,,,,-6thLIVE TOUR Come and Unite! part2-,2024/03/02,,
131,White Story,“CANVAS” 07,2023/10/11,シーズ,2023/09/30,,,,,,,,,-6thLIVE TOUR Come and Unite! part3-,2024/03/02,,
132,星の声,Song for Prism 星の声,2023/10/18,シャイニーカラーズ,,2023/11/14,,2026/01/21,2023/11/14,2026/3/20,新曲1週目,2026/5/31,,,,,
133,無自覚アプリオリ,“CANVAS” 08,2023/11/08,コメティック,2023/10/21,2023/11/14,,,2024/5/14,,既存1週目,,,-6thLIVE TOUR Come and Unite! part1-,2024/03/02,,
